CUSTOMERNAME|CUSTOMERTYPE|PARENTCUSTOMER|CUSTOMPROPERTY1|CUSTOMPROPERTY2|CUSTOMPROPERTY3|CUSTOMPROPERTY4|CUSTOMPROPERTY7|CUSTOMPROPERTY9|CUSTOMPROPERTY16|CUSTOMPROPERTY17|CUSTOMPROPERTY18|CUSTOMPROPERTY19|CUSTOMPROPERTY20|CUSTOMPROPERTY21
Fairfield Inn & Suites Flint Grand Blanc|MSB|0011I00000cJXtqQAG|FNTFG|a1W1I000000aWQkUAM|F|Fairfield Inn & Suites|NALO|West|0011I00000cJXtqQAG|0011I00000cJXtqQAG||Open||
The Brix, Autograph Collection|FS|0011I00000cJXVgQAO|POSAK|a1W1I000000aWQlUAM|F|Autograph Collection|INTL|CALA|0011I00000ki8eJQAQ|0011I00000ki8eJQAQ||Pre-Opening||
SpringHill Suites By Marriott Charlottesville|MSB|0011I00000cJXnSQAW||a1W1I000000aWQmUAM|F|SpringHill Suites By Marriott|NALO|East|0011I00000cJXnSQAW|0011I00000cJXnSQAW||Pre-Opening||
Le Méridien Chambers Minneapolis|FS|0011I00000cJTjcQAG|MSPMD|a1W1I000000aWRQUA2|M|Le Méridien|NALO|West||0011I00000cJWMKQA4||Deflagged||
W Istanbul|Luxury|0011I00000cJUGAQA4|ISTWH|a1W1I000000aWRRUA2|M|W Hotels|INTL|Europe||0011I00000cJXkfQAG||Open||
Sheraton Imperial Hotel Raleigh-Durham Airport at Research Triangle Park|FS|0011I00000cJXpLQAW|RDUIS|a1W1I000000aWRyUAM|F|Sheraton Hotels|NALO|East|0011I00000cJXpLQAW|0011I00000cJXpLQAW||Open||
St. Regis Istanbul|Luxury|0011I00000cJUGAQA4|ISTXR|a1W1I000000aWRzUAM|M|St. Regis Hotels|INTL|Europe||0011I00000cJXkiQAG||Open||
Sheraton Brussels Airport Hotel|FS|0011I00000cJUGAQA4|BRUSI|a1W1I000000aWSVUA2|M|Sheraton Hotels|INTL|Europe||0011I00000cJXkKQAW||Open||
Sheraton Frankfurt Airport Hotel & Conference Center|FS|0011I00000cJSKkQAO|FRAAS|a1W1I000000aWSWUA2|M|Sheraton Hotels|INTL|Europe||0011I00000cJXkVQAW||Open||
Le Méridien Philadelphia|FS|0011I00000cJXpdQAG|PHLMD|a1W1I000000aWT0UAM|F|Le Méridien|NALO|East|0011I00000cJXmPQAW|0011I00000cJXmPQAW||Open||
Sheraton Heathrow Hotel|FS|0011I00000cJSKkQAO|LHRSI|a1W1I000000aWT1UAM|M|Sheraton Hotels|INTL|Europe||0011I00000cJXkkQAG||Open||
Walt Disney World Swan|FS|0011I00000cJTjcQAG|MCODW|a1W1I000000aWTWUA2|M|Westin Hotels|NALO|East||0011I00000cJXcUQAW||Open||
Sheraton Orlando North Hotel|FS|0011I00000cJXqOQAW|MCOON|a1W1I000000aWTXUA2|F|Sheraton Hotels|NALO|East|0011I00000cJXxfQAG|0011I00000cJXxfQAG||Open||
Aloft Oklahoma City Quail Springs|MSB|0011I00000cJXdnQAG|OKCAN|a1W1I000000aWU8UAM|F|Aloft Hotels|NALO|West|0011I00000cJToJQAW|0011I00000cJToJQAW||Cancelled||
Aloft Omaha West|MSB|0011I00000cJXipQAG|OMAAL|a1W1I000000aWU9UAM|F|Aloft Hotels|NALO|West|0011I00000cJXipQAG|0011I00000cJXipQAG||Open||
CY CA San Bernardino Ontario Airport USA|MSB|0011I00000cJXo4QAG||a1W1I000000aWNtUAM|F|Courtyard By Marriott|NALO|West||0011I00000cJXo4QAG||Cancelled||
Fitchburg|MSB||BOSCF|a1W1I000000aWNuUAM|F|Courtyard By Marriott|NALO|East||||Deflagged||
Renaissance Syracuse Hotel|FS||SYRBR|a1W1I000000aWNvUAM|F|Renaissance Hotels & Resorts|NALO|East||||Deflagged||
Courtyard By Marriott Houma|MSB|0011I00000cJXWYQA4|MSYHO|a1W1I000000aWOZUA2|F|Courtyard By Marriott|NALO|East|0011I00000cJXhhQAG|0011I00000cJXhhQAG||Open||
Chicago Edition Residences|Luxury|0011I00000cJXVUQA4||a1W1I000000aWOaUAM|M|Edition|NALO|West||0011I00000cJUcEQAW||Cancelled||
The Los Angeles Downtown EDITION Residences|Luxury|0011I00000cJXVUQA4||a1W1I000000aWObUAM|M|Edition|NALO|West||0011I00000cJWbRQAW||Cancelled||
Minneapolis Marriott Suites Downtown|FS|0011I00000cJXpaQAG||a1W1I000000aWOcUAM|F|Marriott Hotels & Resorts|NALO|West|0011I00000cJWb7QAG|0011I00000cJWb7QAG||Cancelled||
Toronto Mississauga|MSB|0011I00000cJXc1QAG||a1W1I000000aWPNUA2|F|Courtyard By Marriott|NALO|Canada|0011I00000cJXc1QAG|0011I00000cJXc1QAG||Cancelled||
Rapid City|MSB|0011I00000cJXckQAG||a1W1I000000aWPOUA2|F|SpringHill Suites By Marriott|NALO|West|0011I00000cJXckQAG|0011I00000cJXckQAG||Cancelled||
The Residences at the Ritz-Carlton Cayman Islands, PIP Units|Luxury|0011I00000cJSGpQAO|RRCPU|a1W1I000000aWPPUA2|M|The Ritz-Carlton|INTL|CALA||0011I00000cJVs5QAG||Open||
Marriott New York JFK Airport|FS|0011I00000cJXciQAG|NYCXK|a1W1I000000aWQ9UAM|F|Marriott Hotels & Resorts|NALO|East|0011I00000cJXeUQAW|0011I00000cJXeUQAW||Pre-Opening||
Renaissance Daytona Beach Hotel|FS|0011I00000cJXq9QAG|DABBR|a1W1I000000aWQAUA2|F|Renaissance Hotels & Resorts|NALO|East|0011I00000cJXq9QAG|0011I00000cJXq9QAG||Pre-Opening||
TownePlace Suites By Marriott Charlottesville|MSB|0011I00000cJXnSQAW||a1W1I000000aWQnUAM|F|TownePlace Suites By Marriott|NALO|East|0011I00000cJXnSQAW|0011I00000cJXnSQAW||Cancelled||
JW Marriott Orlando Bonnet Creek Resort & Spa|Luxury|0011I00000cJXVUQA4|MCOJB|a1W1I000000aWQoUAM|M|JW Marriott Hotels and Resorts|NALO|East||0011I00000cJWhuQAG||Open||
TownePlace Suites By Marriott San Diego Central|MSB|0011I00000cJXsyQAG|SANMT|a1W1I000000aWQpUAM|F|TownePlace Suites By Marriott|NALO|West|0011I00000cJXsyQAG|0011I00000cJXsyQAG||Open||
The Ballantyne, a Luxury Collection Hotel, Charlotte|Luxury|0011I00000cJXxPQAW|CLTLC|a1W1I000000aWRSUA2|F|The Luxury Collection|NALO|East|0011I00000cJXxPQAW|0011I00000cJXxPQAW||Open||
Aloft Charlotte Ballantyne|MSB|0011I00000cJXxPQAW|CLTAL|a1W1I000000aWRTUA2|F|Aloft Hotels|NALO|East|0011I00000cJXxPQAW|0011I00000cJXxPQAW||Open||
The Westin Paris-Vendome|FS|0011I00000cJVBaQAO|PARVW|a1W1I000000aWS0UAM|F|Westin Hotels|INTL|Europe|0011I00000cJXkPQAW|0011I00000cJTwVQAW||Open||
The Westin Waltham Boston|FS|0011I00000cJXpdQAG|BOSWW|a1W1I000000aWS1UAM|F|Westin Hotels|NALO|East|0011I00000cJSOcQAO|0011I00000cJSOcQAO||Open||
Sheraton Detroit Novi Hotel|FS|0011I00000cJXbKQAW|DTWOS|a1W1I000000aWSXUA2|F|Sheraton Hotels|NALO|West|0011I00000cJXbKQAW|0011I00000cJXbKQAW||Open||
Hotel Bristol, a Luxury Collection Hotel, Warsaw|Luxury|0011I00000cJUGAQA4|WAWLC|a1W1I000000aWSYUA2|M|The Luxury Collection|INTL|Europe||0011I00000cJXkxQAG||Open||
Hotel Prince de Galles, a Luxury Collection Hotel|Luxury|0011I00000cJUGAQA4|PARLC|a1W1I000000aWT2UAM|M|The Luxury Collection|INTL|Europe||0011I00000cJXkTQAW||Open||
Sheraton Moscow Sheremetyevo Airport Hotel|FS|0011I00000cJUGAQA4|MOWSH|a1W1I000000aWT3UAM|M|Sheraton Hotels|INTL|Europe||0011I00000cJXl0QAG||Open||
The Langley, a Luxury Collection Hotel, Buckinghamshire|Luxury|0011I00000cJXjvQAG|LONIV|a1W1I000000aWTYUA2|F|The Luxury Collection|INTL|Europe|0011I00000cJXjvQAG|0011I00000opcTpQAI||Open||
The Westin Calgary Airport|FS|0011I00000cJXgnQAG|YYCWA|a1W1I000000aWTZUA2|F|Westin Hotels|NALO|Canada|0011I00000cJUMAQA4|0011I00000cJUMAQA4||Open||
Aloft San Diego Downtown Gaslamp-Quarter|MSB|0011I00000cJXiUQAW|SANAQ|a1W1I000000aWUAUA2|F|Aloft Hotels|NALO|West|0011I00000cJVY7QAO|0011I00000cJVY7QAO||Cancelled||
Aloft Salt Lake City Downtown|MSB|0011I00000cJXiUQAW|SLCAL|a1W1I000000aWUBUA2|F|Aloft Hotels|NALO|West|0011I00000cJVflQAG|0011I00000cJVflQAG||Cancelled||
Aloft Chicago Mag Mile|MSB|0011I00000cJXcUQAW|CHIAA|a1W1I000000aWUCUA2|F|Aloft Hotels|NALO|West|0011I00000cJXcUQAW|0011I00000cJXcUQAW||Open||
Fairfield Inn & Suites San Antonio Alamo Plaza/Convention Center|MSB|0011I00000cJXWqQAO|SATDW|a1W1I000000aWNwUAM|F|Fairfield Inn & Suites|NALO|West|0011I00000cJXWqQAO|0011I00000cJXWqQAO||Open||
Whitecourt|MSB|0011I00000cJXVUQA4||a1W1I000000aWNxUAM|M|Fairfield Inn & Suites|NALO|Canada||0011I00000cJXlaQAG||Cancelled||
Freehold|MSB|0011I00000cJXUzQAO||a1W1I000000aWNyUAM|F|Courtyard By Marriott|NALO|East|0011I00000cJXUzQAO|0011I00000cJXUzQAO||Cancelled||
TownePlace Suites By Marriott Chattanooga Near Hamilton Place|MSB|0011I00000cJXqOQAW|CHATS|a1W1I000000aWOdUAM|F|TownePlace Suites By Marriott|NALO|East|0011I00000cJXhkQAG|0011I00000cJXhkQAG||Open||
LaGrange|MSB|0011I00000cJXptQAG||a1W1I000000aWOeUAM|F|Courtyard By Marriott|NALO|East|0011I00000cJXptQAG|0011I00000cJXptQAG||Cancelled||
TownePlace Suites By Marriott Clarksville|MSB|0011I00000cJXVUQA4|BNAWH|a1W1I000000aWPQUA2|M|TownePlace Suites By Marriott|NALO|East||0011I00000cJXs1QAG||Open||
The Ritz-Carlton Residences, Singer Island|Luxury|0011I00000cJXVUQA4|PBI44|a1W1I000000aWPRUA2|M|The Ritz-Carlton|NALO|East||0011I00000cJWbBQAW||Open||
Tustin Orange County|MSB|0011I00000cJXVUQA4||a1W1I000000aWPSUA2|O|Residence Inn By Marriott|NALO|West||0011I00000cJXVUQA4||Cancelled||
Renaissance Minneapolis Bloomington Hotel|FS|0011I00000cJXfFQAW|MSPBB|a1W1I000000aWQBUA2|F|Renaissance Hotels & Resorts|NALO|West|0011I00000cJXjkQAG|0011I00000cJXjkQAG||Open||
Denver Aurora|MSB|0011I00000cJScgQAG||a1W1I000000aWQCUA2|F|Courtyard By Marriott|NALO|West|0011I00000cJXn2QAG|0011I00000cJXn2QAG||Cancelled||
Fairfield by Marriott Inn & Suites Houston Richmond|MSB|0011I00000cJXthQAG|HOUFR|a1W1I000000aWQDUA2|F|Fairfield Inn & Suites|NALO|West|0011I00000cJXthQAG|0011I00000cJXthQAG||Open||
Residence Inn By Marriott Valencia|MSB|0011I00000cJXsyQAG|LAXVR|a1W1I000000aWQqUAM|F|Residence Inn By Marriott|NALO|West|0011I00000cJXsyQAG|0011I00000cJXsyQAG||Pre-Opening||
Fairfield Inn & Suites Fayetteville|MSB|0011I00000cJXjXQAW|FYVFA|a1W1I000000aWQrUAM|F|Fairfield Inn & Suites|NALO|East|0011I00000cJXjXQAW|0011I00000cJXjXQAW||Open||
Sheraton Fisherman's Wharf Hotel|FS|0011I00000cJXlmQAG|SFOSI|a1W1I000000aWRUUA2|F|Sheraton Hotels|NALO|West|0011I00000cJXlmQAG|0011I00000cJXlmQAG||Deflagged||
Philadelphia 201 Hotel|Other|0011I00000cJWMlQAO||a1W1I000000aWRVUA2|F|Independent|NALO|East|0011I00000cJXxfQAG|0011I00000cJXxfQAG||Deflagged||
Sheraton Milan Malpensa Airport Hotel & Conference Centre|FS|0011I00000cJUGAQA4|MILMP|a1W1I000000aWS2UAM|M|Sheraton Hotels|INTL|Europe||0011I00000cJXl6QAG||Open||
Sheraton Atlanta Perimeter North Hotel|FS|0011I00000cJXhzQAG|ATLNR|a1W1I000000aWS3UAM|F|Sheraton Hotels|NALO|East|0011I00000cJXhzQAG|0011I00000cJXhzQAG||Open||
Sheraton Chapel Hill Hotel|FS|0011I00000cJVSaQAO|RDUSC|a1W1I000000aWSZUA2|F|Sheraton Hotels|NALO|East|0011I00000cJVSaQAO|0011I00000cJVSaQAO||Open||
Le Méridien St. Julians Hotel & Spa|FS|0011I00000cJVqwQAG|MLAMD|a1W1I000000aWSaUAM|M|Le Méridien|INTL|Europe||0011I00000cJXkrQAG||Deflagged||
Sheraton Dallas Hotel|FS|0011I00000cJTjcQAG|DALDH|a1W1I000000aWT4UAM|M|Sheraton Hotels|NALO|West||0011I00000cJXwWQAW||Open||
Sheraton Denver Downtown Hotel|FS|0011I00000cJTjcQAG|DENDS|a1W1I000000aWT5UAM|M|Sheraton Hotels|NALO|West||0011I00000cJXkIQAW||Open||
Element Ontario|MSB|0011I00000cJXqOQAW|ONTEL|a1W1I000000aWTaUAM|F|Element Hotels|NALO|West|0011I00000cJXinQAG|0011I00000cJXinQAG||Open||
Element Dallas Fort Worth Airport South|MSB|0011I00000cJScgQAG|DFWES|a1W1I000000aWTbUAM|F|Element Hotels|NALO|West|0011I00000cJXeNQAW|0011I00000cJXeNQAW||Pre-Opening||
Aloft Chattanooga Downtown|MSB|0011I00000cJXr9QAG||a1W1I000000aWUDUA2|F|Aloft Hotels|NALO|East|0011I00000cJXr9QAG|0011I00000cJXr9QAG||Cancelled||
Aloft Manhattan Midtown|MSB|0011I00000cJXqPQAW|NYCMN|a1W1I000000aWUEUA2|F|Aloft Hotels|NALO|East|0011I00000cJXqwQAG|0011I00000cJXqwQAG||Cancelled||
Courtyard By Marriott Bentonville Rogers Promenade|MSB|0011I00000cJXfVQAW|ROGCY|a1W1I000000aWUFUA2|F|Courtyard By Marriott|NALO|East|0011I00000cJXfVQAW|0011I00000cJXfVQAW||Open||
Cheyenne|MSB|0011I00000cJXnWQAW||a1W1I000000aWNzUAM|F|Courtyard By Marriott|NALO|West|0011I00000cJXnWQAW|0011I00000cJXnWQAW||Cancelled||
Freehold|MSB|0011I00000cJXUzQAO|TTNRF|a1W1I000000aWO0UAM|F|Residence Inn By Marriott|NALO|East|0011I00000cJXUzQAO|0011I00000cJXUzQAO||Cancelled||
Visalia|MSB|0011I00000cJXnWQAW|VISRI|a1W1I000000aWO1UAM|F|Residence Inn By Marriott|NALO|West|0011I00000cJXqAQAW|0011I00000cJXqAQAW||Cancelled||
MHR AR Little Rock North USA|FS|||a1W1I000000aWO2UAM|F|Marriott Hotels & Resorts|NALO|East||0011I00000cJXoVQAW||Cancelled||
Courtyard By Marriott Warner Robins|MSB|0011I00000cJXdIQAW|MCNCW|a1W1I000000aWOfUAM|F|Courtyard By Marriott|NALO|East|0011I00000cJXdIQAW|0011I00000cJXdIQAW||Open||
Las Vegas Southwest|MSB|0011I00000cJXrzQAG||a1W1I000000aWOgUAM|F|Residence Inn By Marriott|NALO|West|0011I00000cJXrzQAG|0011I00000cJXrzQAG||Cancelled||
Courtyard by Marriott Bhopal|MSB|0011I00000cJSKkQAO|BHOCY|a1W1I000000aWPTUA2|M|Courtyard By Marriott|INTL|APEC||0011I00000cJXhWQAW||Open||
Courtyard By Marriott Hong Kong Sha Tin|MSB|0011I00000cJSKkQAO|HKGST|a1W1I000000aWPUUA2|M|Courtyard By Marriott|INTL|Greater China||0011I00000cJXelQAG||Open||
Pittsburgh Monaca|MSB|0011I00000cJScgQAG||a1W1I000000aWPVUA2|F|TownePlace Suites By Marriott|NALO|East|0011I00000cJXWbQAO|0011I00000cJXWbQAO||Cancelled||
Residence Inn By Marriott Walnut Creek|MSB|0011I00000cJXcXQAW|OAKRW|a1W1I000000aWQEUA2|F|Residence Inn By Marriott|NALO|West|0011I00000cJXcXQAW|0011I00000cJXcXQAW||Open||
Moxy San Francisco Downtown|MSB|0011I00000cJXu7QAG||a1W1I000000aWQFUA2|F|MOXY Hotels|NALO|West|0011I00000cJXu7QAG|0011I00000cJXu7QAG||Cancelled||
AC Hotel Tampa Clearwater Beach|MSB|0011I00000cJXVUQA4||a1W1I000000aWQGUA2|M|AC Hotels By Marriott|NALO|East||0011I00000cJWNzQAO||Cancelled||
Fairfield Inn & Suites Barstow|MSB|0011I00000cJXsyQAG|DAGFI|a1W1I000000aWQHUA2|F|Fairfield Inn & Suites|NALO|West|0011I00000cJXsyQAG|0011I00000cJXsyQAG||Cancelled||
Fairfield Inn & Suites Riverside Moreno Valley|MSB|0011I00000cJXvIQAW|RALFM|a1W1I000000aWQsUAM|F|Fairfield Inn & Suites|NALO|West|0011I00000cJXvIQAW|0011I00000cJXvIQAW||Open||
Napa Petaluma|MSB|0011I00000cJWMlQAO||a1W1I000000aWQtUAM|F|Courtyard By Marriott|NALO|West|0011I00000cJXeJQAW|0011I00000cJXeJQAW||Cancelled||
Racine Architect Hotel & Conference Center|Other||.|a1W1I000000aWQuUAM|F|Independent|NALO|West||||Deflagged||
Dallas Downtown/East|MSB|0011I00000cJXWYQA4|DALSE|a1W1I000000aWQvUAM|F|SpringHill Suites By Marriott|NALO|West|0011I00000cJWMoQAO|0011I00000cJWMoQAO||Cancelled||
Sheraton Edison|FS|0011I00000cJXqOQAW|EWRRS|a1W1I000000aWRWUA2|F|Sheraton Hotels|NALO|East|0011I00000cJWPZQA4|0011I00000cJWPZQA4||Open||
The Westin Buckhead Atlanta|FS|0011I00000cJXpdQAG|ATLWB|a1W1I000000aWRXUA2|F|Westin Hotels|NALO|East|0011I00000cJSOcQAO|0011I00000cJSOcQAO||Open||
Hotel Augustine, a Luxury Collection Hotel|Luxury|0011I00000cJUGAQA4|PRGLC|a1W1I000000aWS4UAM|M|The Luxury Collection|INTL|Europe||0011I00000cJXkOQAW||Open||
Hotel Goldener Hirsch, Salzburg|Luxury|0011I00000cJUGAQA4|SZGLC|a1W1I000000aWS5UAM|M|The Luxury Collection|INTL|Europe||0011I00000cJXjwQAG||Open||
Le Méridien Ra Beach Hotel & Spa|FS|0011I00000cJSKkQAO|REUMD|a1W1I000000aWS6UAM|M|Le Méridien|INTL|Europe||0011I00000cJXkaQAG||Open||
Aloft New York Brooklyn|MSB|0011I00000cJXqPQAW|NYCYL|a1W1I000000aWSbUAM|F|Aloft Hotels|NALO|East|0011I00000cJXqwQAG|0011I00000cJXqwQAG||Open||
The Westin Warsaw|FS|0011I00000cJSKkQAO|WAWWI|a1W1I000000aWScUAM|M|Westin Hotels|INTL|Europe||0011I000019VEPtQAO||Open||
Sheraton Skyline Hotel London Heathrow|FS|0011I00000cJUGAQA4|LHRSS|a1W1I000000aWT6UAM|M|Sheraton Hotels|INTL|Europe||0011I00000cJXdKQAW||Open||
The Westin Hilton Head Island Resort & Spa|FS|0011I00000cJTjcQAG|HHHWI|a1W1I000000aWT7UAM|M|Westin Hotels|NALO|East||0011I00000cJXaoQAG||Open||
Element Detroit at the Metropolitan|MSB|0011I00000cJXiUQAW|DTWEL|a1W1I000000aWTcUAM|F|Element Hotels|NALO|West|0011I00000cJVg7QAG|0011I00000cJVg7QAG||Open||
Element Denver International Airport|MSB|0011I00000cJXh6QAG|DENEA|a1W1I000000aWTdUAM|F|Element Hotels|NALO|West|0011I00000cJXh6QAG|0011I00000cJXh6QAG||Open||
Aloft Nashville Airport|MSB|0011I00000cJXtQQAW|BNAAA|a1W1I000000aWUGUA2|F|Aloft Hotels|NALO|East|0011I00000cJTmkQAG|0011I00000cJTmkQAG||Pre-Opening||
Aloft Charlotte Airport|MSB|0011I00000cJXtNQAW|CLTAP|a1W1I000000aWUHUA2|F|Aloft Hotels|NALO|East|0011I00000cJXrnQAG|0011I00000cJXrnQAG||Open||
TownePlace Suites By Marriott Baltimore White Marsh|MSB|0011I00000cJXUQQA4||a1W1I000000aWUnUAM|F|TownePlace Suites By Marriott|NALO|East|0011I00000cJWn3QAG|0011I00000cJWn3QAG||Cancelled||
Four Points by Sheraton Frisco TX|MSB|0011I00000cJXdnQAG||a1W1I000000aWUoUAM|F|Four Points by Sheraton|NALO|West|0011I00000cJWWhQAO|0011I00000cJWWhQAO||Pre-Opening||
Cape Town Marriott Hotel Crystal Towers|FS|0011I00000cJXVUQA4|CPTCM|a1W1I000000aWUpUAM|L|Marriott Hotels & Resorts|INTL|AFIO||0011I00000cJVCVQA4||Open||
AC Hotel By Marriott San Francisco Downtown|MSB|0011I00000cJScgQAG||a1W1I000000aWO3UAM|F|AC Hotels By Marriott|NALO|West|0011I00000cJWZoQAO|0011I00000cJWZoQAO||Cancelled||
Tyler|MSB|0011I00000cJXWFQA4||a1W1I000000aWO4UAM|F|Courtyard By Marriott|NALO|West|0011I00000cJXWFQA4|0011I00000cJXWFQA4||Cancelled||
RH CA San Diego Downtown USA|FS|||a1W1I000000aWO5UAM|M|Renaissance Hotels & Resorts|NALO|West||0011I00000cJXVUQA4||Cancelled||
The Algonquin Hotel Times Square, Autograph Collection®|FS|0011I00000cJXVUQA4|NYCAK|a1W1I000000aWOhUAM|M|Autograph Collection|NALO|East||0011I00000cJXsbQAG||Open||
Courtyard by Marriott Irkutsk City Center|MSB|0011I000013SWLuQAO|IKTCY|a1W1I000000aWOiUAM|F|Courtyard By Marriott|INTL|Europe|0011I000013SWLuQAO|0011I0000164gm3QAA||Open||
Ellis Hotel, Atlanta, a Tribute Portfolio Hotel|FS|0011I00000cJXnHQAW|ATLTE|a1W1I000000aWPWUA2|F|Tribute Portfolio|NALO|East|0011I00000cJXtuQAG|0011I00000cJXtuQAG||Open||
AC Hotel by Marriott Marseille Prado Velodrome|MSB|0011I00000soUDpQAM|MRSAR|a1W1I000000aWPXUA2|F|AC Hotels By Marriott|INTL|Europe|0011I00000cJUnZQAW|0011I00000cJXehQAG||Open||
TownePlace Suites By Marriott Barstow|MSB|0011I00000cJXsyQAG|DAGTS|a1W1I000000aWQIUA2|F|TownePlace Suites By Marriott|NALO|West|0011I00000cJXsyQAG|0011I00000cJXsyQAG||Cancelled||
Delta Hotels by Marriott Bessborough|FS|0011I00000cJXVUQA4|YXEDB|a1W1I000000aWQJUA2|M|Delta Hotels and Resorts|NALO|Canada||0011I00000cJXxTQAW||Open||
Delta Hotels by Marriott Dallas Allen|FS|0011I00000cJXnPQAW|DALDA|a1W1I000000aWQwUAM|F|Delta Hotels and Resorts|NALO|West|0011I00000cJWVJQA4|0011I00000cJWVJQA4||Open||
TownePlace Suites By Marriott Dallas DFW Airport North/Irving|MSB|0011I00000cJWMkQAO|DFWTI|a1W1I000000aWQxUAM|F|TownePlace Suites By Marriott|NALO|West|0011I00000cJXsaQAG|0011I00000cJXsaQAG||Open||
W New York|Luxury||NYCWW|a1W1I000000aWRYUA2|M|W Hotels|NALO|East||||Deflagged||
Aloft Harlem|MSB|0011I00000cJXqOQAW|NYCLH|a1W1I000000aWRZUA2|F|Aloft Hotels|NALO|East|0011I00000cJXqfQAG|0011I00000cJXqfQAG||Open||
The Westin Flushing|FS|0011I00000cJXqPQAW|NYCWU|a1W1I000000aWS7UAM|F|Westin Hotels|NALO|East|0011I00001TFZ62QAH|0011I00001TFZ62QAH||Pre-Opening||
Sheraton Framingham Hotel & Conference Center|FS|0011I00000cJXnHQAW|BOSFS|a1W1I000000aWS8UAM|F|Sheraton Hotels|NALO|East|0011I00000cJXUgQAO|0011I00000cJXUgQAO||Open||
Excelsior Hotel Gallia, a Luxury Collection Hotel|Luxury|0011I00000cJUGAQA4|MILLC|a1W1I000000aWSdUAM|M|The Luxury Collection|INTL|Europe||0011I00000cJXkqQAG||Open||
Sheraton Omaha Hotel|FS|0011I00000cJXv1QAG|OMASI|a1W1I000000aWSeUAM|F|Sheraton Hotels|NALO|West|0011I00000cJXv1QAG|0011I00000cJXv1QAG||Open||
The Westin La Paloma Resort & Spa|FS|0011I00000cJXpdQAG|TUSWI|a1W1I000000aWT8UAM|F|Westin Hotels|NALO|West|0011I00000cJXaoQAG|0011I00000cJXaoQAG||Open||
W Atlanta - Buckhead|Luxury|0011I00001HOIIgQAP|ATLBW|a1W1I000000aWT9UAM|F|W Hotels|NALO|East|0011I00000cJXmUQAW|0011I00000cJXmUQAW||Deflagged||
Element Denver Downtown East|MSB|0011I00000cJXh6QAG|DENED|a1W1I000000aWTeUAM|F|Element Hotels|NALO|West|0011I00000cJXh6QAG|0011I00000cJXh6QAG||Open||
Four Points by Sheraton Sarasota|MSB|0011I00000cJXjJQAW||a1W1I000000aWTfUAM|F|Four Points by Sheraton|NALO|East|0011I00000cJXjJQAW|0011I00000cJXjJQAW||Pre-Opening||
Aloft Mountain View|MSB|0011I00000cJVeeQAG|SJCAM|a1W1I000000aWUIUA2|F|Aloft Hotels|NALO|West|0011I00000cJVeeQAG|0011I00000cJVeeQAG||Open||
Aloft Mountain View|MSB|0011I00000cJXiUQAW|SFOAV|a1W1I000000aWUJUA2|F|Aloft Hotels|NALO|West|0011I00000cJVeeQAG|0011I00000cJVeeQAG||Cancelled||
Aloft Florence|MSB|0011I00000cJXp4QAG|FLOAL|a1W1I000000aWUKUA2|F|Aloft Hotels|NALO|East|0011I00000cJToIQAW|0011I00000cJToIQAW||Pre-Opening||
AC Hotel By Marriott Los Angeles Burbank|MSB|0011I00000cJXd8QAG||a1W1I000000aWUqUAM|F|AC Hotels By Marriott|NALO|West|0011I00000cJXd8QAG|0011I00000cJXd8QAG||Pre-Opening||
Landmark Inn Marquette, a Tribute Portfolio Hotel|FS|0011I00000cJXWJQA4|MQTTX|a1W1I000000aWUrUAM|F|Tribute Portfolio|NALO|West|0011I00000cJXWJQA4|0011I00000cJXWJQA4||Pre-Opening||
SpringHill Suites By Marriott Las Vegas North Speedway|MSB|0011I00000cJXhDQAW|LASVN|a1W1I000000aWO6UAM|F|SpringHill Suites By Marriott|NALO|West|0011I00000cJXhDQAW|0011I00000cJXhDQAW||Open||
Denver North/Broomfield|MSB|0011I00000cJXluQAG||a1W1I000000aWO7UAM|F|Courtyard By Marriott|NALO|West|0011I00000cJWPGQA4|0011I00000cJWPGQA4||Cancelled||
Denver North/Broomfield|MSB|0011I00000cJXluQAG||a1W1I000000aWO8UAM|F|Residence Inn By Marriott|NALO|West|0011I00000cJWPGQA4|0011I00000cJWPGQA4||Cancelled||
Renaissance Rockville Tower Oaks|FS|0011I00000cJXVUQA4||a1W1I000000aWO9UAM|M|Renaissance Hotels & Resorts|NALO|East||||Cancelled||
Fairfield Inn & Suites Lancaster Palmdale|MSB|0011I00000cJWMkQAO|BURFL|a1W1I000000aWOjUAM|F|Fairfield Inn & Suites|NALO|West|0011I00000cJXtKQAW|0011I00000cJXtKQAW||Pre-Opening||
South Bend|MSB|0011I00000cJXmfQAG||a1W1I000000aWOkUAM|F|Courtyard By Marriott|NALO|West|0011I00000cJXmfQAG|0011I00000cJXmfQAG||Cancelled||
Greenville|MSB|0011I00000cJXWFQA4||a1W1I000000aWOlUAM|F|Fairfield Inn & Suites|NALO|West|0011I00000cJXWFQA4|0011I00000cJXWFQA4||Cancelled||
Barcelona Edition Hotel|Luxury|0011I00000cJXVUQA4||a1W1I000000aWOmUAM|M|Edition|INTL|Europe||0011I00000cJUYZQA4||Cancelled||
Los Angeles Glendale|MSB|0011I00000cJXVUQA4||a1W1I000000aWOnUAM|M|Courtyard By Marriott|NALO|West||0011I00000cJUUNQA4||Cancelled||
The West Hollywood EDITION|Luxury|0011I00000cJXVUQA4|LAXEB|a1W1I000000aWPYUA2|M|Edition|NALO|West||0011I00000cJWMOQA4||Open||
